,address,name,order,page_link,rank,tel
0,上海市静安区乌鲁木齐中路12号,"
        复旦大学附属华山医院
      ",290.4万,https://www.guahao.com/hospital/125336754304601000,三级甲等,021-52889999
1,上海市徐汇区枫林路180号,"
        复旦大学附属中山医院
      ",174.4万,https://www.guahao.com/hospital/125336070937502000,三级甲等,021-64041990
2,上海市黄浦区瑞金二路197号,"
        上海交通大学医学院附属瑞金医院
      ",119.2万,https://www.guahao.com/hospital/dde98fc9-4183-48ee-8c84-453058fa7fe3000,三级甲等,021-64370045
3,上海市徐汇区东安路270号,"
        复旦大学附属肿瘤医院
      ",219.5万,https://www.guahao.com/hospital/125358368239002000,三级甲等,021-64175590
4,上海市黄浦区成都北路440号,"
        上海市长征医院
      ",37.3万,https://www.guahao.com/hospital/8888a69d-5648-4710-99dd-92ee5e2ef1fe000,三级甲等,021-81886999
5,上海市虹口区海宁路100号,"
        上海交通大学附属第一人民医院
      ",36.9万,https://www.guahao.com/hospital/23723714-e925-4149-99ee-f66b0ee36151000,三级甲等,021-63240090
6,上海市杨浦区政民路507号,"
        上海市肺科医院
      ",59.9万,https://www.guahao.com/hospital/a37ef412-f31e-421d-a291-2521ea6f74d8000,三级甲等,021-65115006
7,上海市浦东新区东方路1678号,"
        上海儿童医学中心
      ",39.9万,https://www.guahao.com/hospital/8cda804a-9de1-48cb-b99a-08c0c3e4672d000,三级甲等,021-38626161
8,上海市静安区延安西路221号,"
        复旦大学附属华东医院
      ",164.4万,https://www.guahao.com/hospital/125369370584301000,三级甲等,021-62483180
9,上海市徐汇区淮海西路241号,"
        上海交通大学附属胸科医院
      ",52.1万,https://www.guahao.com/hospital/8db18b07-5a05-4b8b-9183-30622b8e9da3000,三级甲等,021-22200000
0,上海市虹口区甘河路110号,"
        上海中医药大学附属岳阳中西医结合医院
      ",196.3万,https://www.guahao.com/hospital/128229647014009000,三级甲等,021-65161782
1,上海市静安区青海路44号,"
        岳阳医院青海路特诊部
      ",139.1万,https://www.guahao.com/hospital/ce1fa639-29f5-4443-a76c-2006e445206e000,三级甲等,021-62536300
2,上海市徐汇区宛平南路725号,"
        上海中医药大学附属龙华医院
      ",101.6万,https://www.guahao.com/hospital/8212fd10-0ca7-49d7-893c-288cd3f3995d000,三级甲等,021-64385700
3,上海市黄浦区普安路185号,"
        上海中医药大学附属曙光医院西院
      ",87.7万,https://www.guahao.com/hospital/8e0031a6-f068-4fc5-aba5-9e357b1c6a2c000,三级甲等,021-20256638
4,"上海市浦东新区张衡路528号,近科苑路","
        上海中医药大学附属曙光医院东院
      ",49.5万,https://www.guahao.com/hospital/eb3ec49d-2af1-45b2-a0a1-2df71bfa7426000,三级甲等,021-20256666
5,上海市浦东新区即墨路150号,"
        上海市东方医院
      ",32.1万,https://www.guahao.com/hospital/a7fb2715-5e71-4d75-9f16-bcfc1c81f739000,三级甲等,021-38804518
6,上海市闸北区延长中路301号,"
        上海第十人民医院
      ",26.7万,https://www.guahao.com/hospital/c7e759ea-e87c-4e8f-baeb-c5492e173e0c000,三级甲等,021-66303643
7,上海市静安区石门一路67弄1号,"
        上海中医药大学附属中医医院石门路门诊部
      ",25.3万,https://www.guahao.com/hospital/e056c534-5828-49b6-9745-0ce248e886b7000,三级甲等,021-62588203
8,徐汇区 宝庆路19号(近淮海中路),"
        复旦大学附属眼耳鼻喉科宝庆分院
      ",24.1万,https://www.guahao.com/hospital/22652e47-dd9d-46a3-a888-31254c7b55b3000,三级甲等,021-64376425
9,上海市虹口区保定路230号,"
        上海市中西医结合医院
      ",23.6万,https://www.guahao.com/hospital/d4b40a10-5f19-458a-b5e4-8273597be106000,三级甲等,021-65415910
0,上海市静安区北京西路1400弄24号,"
        上海儿童医院北京西路院区
      ",10.2万,https://www.guahao.com/hospital/c4f0833d-7f1c-43cc-81e9-1aacc1911b76000,三级甲等,021-62474880
1,上海市普陀区新村路389号,"
        上海市同济医院
      ",6.5万,https://www.guahao.com/hospital/9e592a81-4b29-4298-bcaf-65848b052b85000,三级甲等,021-56051080
2,"上海市闵行区春申路2869号,近莲花南路","
        复旦大学附属华东医院闵行门诊部
      ",4.6万,https://www.guahao.com/hospital/127529327571445000,三级甲等,021-62483180
3,上海市静安区康定路380号,"
        上海市眼病防治中心
      ",4.4万,https://www.guahao.com/hospital/af25fd28-0a0c-415a-b00a-24f1d4405b3c000,三级甲等,021-62717733
4,"上海市普陀区泸定路355号,近同普路","
        上海儿童医院普陀新院
      ",3.5万,https://www.guahao.com/hospital/c41a8562-f8bb-408c-9d63-75d10a561d46000,三级甲等,021-52976020
5,上海市徐汇区延庆路130号,"
        上海肺科医院延庆路门诊部
      ",1.7万,https://www.guahao.com/hospital/6d6ca698-e799-4fd9-b0c1-8a086f1f134f000,三级甲等,021-65115006
6,"上海市浦东云台路1800号(华夏西路口),","
        上海市东方医院南院
      ",1.7万,https://www.guahao.com/hospital/9d8c1b10-78bf-4d44-9d27-bd9efbafed9e000,三级甲等,021-38804518
7,上海市宝山区漠河路280号,"
        上海交通大学医学院附属第九人民医院北部院区
      ",1.7万,https://www.guahao.com/hospital/c102e248-751a-4d0b-941d-94a2c33a4e0b000,三级甲等,021-56691101
