,address,name,order,page_link,rank,tel
0,安徽省芜湖市吉和北路19号,"
        芜湖市第一人民医院
      ",1.9万,https://www.guahao.com/hospital/9d09929b-e7ae-446c-a169-5a65daa4f51b000,三级乙等,0553-3819999
1,安徽省合肥市庐江路17号,"
        安徽省立医院
      ",3.3万,https://www.guahao.com/hospital/986d24c7-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0551-62283160
2,安徽省芜湖市赭山西路2号,"
        皖南医学院弋矶山医院
      ",6.5万,https://www.guahao.com/hospital/896efdff-b4a6-4deb-824d-7e047fe71010000,三级甲等,0553-5739114
3,合肥市北二环砀山路1868号,"
        安徽省第二人民医院
      ",1796,https://www.guahao.com/hospital/98683796-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0551-64286088
4,安徽省合肥市益民街15号,"
        安徽省妇幼保健院
      ",1120,https://www.guahao.com/hospital/98684465-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0551-62649714
5,安徽省合肥市淮河路390号,"
        合肥市第一人民医院
      ",479,https://www.guahao.com/hospital/986c5648-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0551-62183114
6,寿春路300号,"
        安徽中医药大学第二附属医院
      ",439,https://www.guahao.com/hospital/d4e81756-45aa-4921-9b0c-ad706d751a94000,三级甲等,0551-62668841
7,安徽省蚌埠市长淮路287号,"
        蚌埠医学院第一附属医院
      ",6794,https://www.guahao.com/hospital/76e25a3d-d236-4076-b136-b8890b90cd50000,三级甲等,0552-3086026
8,安徽省合肥市和平路246号,"
        合肥市第二人民医院
      ",14,https://www.guahao.com/hospital/986843e3-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0551-2203500
9,安徽省蚌埠市蚌山区宏业路220号,"
        蚌埠医学院第二附属医院
      ",185,https://www.guahao.com/hospital/9f4cd892-c797-492b-87b4-868b0385f0ae000,三级甲等,0552-3135401
0,安徽省巢湖市巢湖北路64号,"
        安徽医科大学附属巢湖医院
      ",111,https://www.guahao.com/hospital/986808a0-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0551-82324234
1,安徽省蚌埠市胜利中路38号,"
        蚌埠市第三人民医院
      ",2,https://www.guahao.com/hospital/98686f7c-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0552-2053939
2,安徽省芜湖市康复路123号,"
        皖南医学院第二附属医院
      ",2492,https://www.guahao.com/hospital/CE098B07C3808189E040A8C079024C7E000,三级乙等,0553-2871905
3,青阳路1号,"
        安徽省中西医结合医院
      ",63,https://www.guahao.com/hospital/6d560dee-e528-47d2-91cb-0dedc13df658000,三级乙等,0551-65169198
4,安徽省合肥市蜀山区绩溪路397号,"
        安徽省胸科医院
      ",29,https://www.guahao.com/hospital/98671edf-c720-11e1-913c-5cf9dd2e7135000,三级医院,0551-63633507
5,安徽省合肥市屯溪路372号,"
        安徽医科大学第四附属医院
      ",204,https://www.guahao.com/hospital/986b06b7-c720-11e1-913c-5cf9dd2e7135000,二级甲等,0551-62877885
6,安徽省芜湖市乌霞山路1号,"
        芜湖市第四人民医院
      ",137,https://www.guahao.com/hospital/ea7e35f6-f018-467e-990d-fe47213c2414000,二级甲等,0553-3028518
7,安徽省马鞍山市湖北路45号,"
        马鞍山市人民医院
      ",2562,https://www.guahao.com/hospital/4050ff6d-6af8-4591-a80e-3197b890f156000,三级甲等,0555-8222278
8,滁州市经济技术开发区会峰东路100号,"
        滁州市中西医结合医院
      ",28,https://www.guahao.com/hospital/9866d50c-c720-11e1-913c-5cf9dd2e7135000,三级医院,0550-3510830(门诊办公室)
9,合肥市梅山路117号,"
        安徽中医药大学第一附属医院
      ",6548,https://www.guahao.com/hospital/FF0153A8ED1B2010E0430F01A8C07495000,三级甲等,0551-62838661
0,蚌埠市延安路302号,"
        蚌埠市第二人民医院
      ",85,https://www.guahao.com/hospital/9866d57e-c720-11e1-913c-5cf9dd2e7135000,二级甲等,0552-3088793
1,蚌埠市禹会区涂山路229号,"
        蚌埠市第一人民医院
      ",60,https://www.guahao.com/hospital/9866d2e6-c720-11e1-913c-5cf9dd2e7135000,二级甲等,0552-4017518
2,安徽省宿州市淮河西路125,"
        蚌埠医学院第三附属医院
      ",193,https://www.guahao.com/hospital/44c718df-72b3-438e-9f10-df06d1efb365000,二级甲等,0557-3911374
3,安庆市华圣路22号,"
        安庆市第六人民医院
      ",17,https://www.guahao.com/hospital/98685a0e-c720-11e1-913c-5cf9dd2e7135000,二级甲等,0556-5200361
4,安徽省蚌埠市大庆路135号,"
        蚌埠市中医院
      ",8,https://www.guahao.com/hospital/9868195f-c720-11e1-913c-5cf9dd2e7135000,二级甲等,0552-4926534
5,新河南路140号,"
        天长市中医院
      ",27,https://www.guahao.com/hospital/9f1e036d-3311-42cb-a615-dfee579581e4000,二级甲等,0550-7021777
6,安徽省天长市建设东路194号,"
        天长市人民医院
      ",17,https://www.guahao.com/hospital/986a86fe-c720-11e1-913c-5cf9dd2e7135000,二级甲等,0550-7042211
7,安徽省宁国市津河东路10号,"
        宁国市人民医院
      ",14,https://www.guahao.com/hospital/986a460f-c720-11e1-913c-5cf9dd2e7135000,二级甲等,0563-4011300
8,安徽省马鞍山市雨山区向山镇向北路,"
        马鞍山市第四人民院
      ",8,https://www.guahao.com/hospital/56585182-0db7-4cb1-9d29-67d54a6add2f000,二级乙等,0555-3109913
9,池州市秋浦西路125号,"
        池州市第二人民医院
      ",8,https://www.guahao.com/hospital/98672140-c720-11e1-913c-5cf9dd2e7135000,二级甲等,0566-2022234
0,安徽省合肥市绩溪路218号,"
        安徽医科大学第一附属医院绩溪路
      ",1.9万,https://www.guahao.com/hospital/986d27c0-c720-11e1-913c-5cf9dd2e7135000,三级甲等,4008032800
1,安徽省合肥市经济技术开发区芙蓉路678号,"
        安徽医科大学第二附属医院
      ",4472,https://www.guahao.com/hospital/986ba48a-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0551-63869114
2,安徽省合肥市望江东路39号,"
        安徽省立儿童医院
      ",1763,https://www.guahao.com/hospital/9867117a-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0551-62237114
3,徽州大道与紫云路的交会口,"
        合肥市滨湖医院
      ",85,https://www.guahao.com/hospital/7343d4ce-c876-4d31-80eb-3691c6aaaf9c000,三级甲等,0551-65758114
4,合肥市长江西路424号,"
        中国人民解放军第105医院
      ",5,https://www.guahao.com/hospital/67f5f638-9485-45dd-8c3c-7e6cc8dc2142000,三级甲等,0551-65966510
5,合肥市环湖东路107号,"
        安徽省立医院西区
      ",0,https://www.guahao.com/hospital/98685ab4-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0551-65327751
6,安徽省芜湖市九华山中路263号,"
        芜湖市第二人民医院
      ",5,https://www.guahao.com/hospital/4953e59a-6328-457c-bf12-8a446dd0f59d000,三级甲等,0553-3835081
