,address,name,order,page_link,rank,tel
0,广东省广州市天河区天河路600号,"
        中山大学附属第三医院天河医院
      ",156.4万,https://www.guahao.com/hospital/05ba2f6c-ec92-4a58-a6d0-31befb5474ed000,三级甲等,020-85253333
1,广东省广州市广州大道北路1838号,"
        南方医科大学南方医院
      ",4.9万,https://www.guahao.com/hospital/a986c8d76-c720-11e1-913c-5cf9dd2e7135000,三级甲等,020-61641114
2,广东省广州市越秀区大德路111号,"
        广东省中医院大德路总院
      ",200.3万,https://www.guahao.com/hospital/eba8a3ab-dcde-4538-9a7e-05c55732b5f8000,三级甲等,020-81887233
3,广州市沿江路151号(原市总工对面),"
        广州医科大学附属第一医院
      ",26.6万,https://www.guahao.com/hospital/08319D6686C53137E0530F01A8C095E4000,三级甲等,020-83062114
4,广东省广州市工业大道中253号,"
        南方医科大学珠江医院
      ",1.6万,https://www.guahao.com/hospital/ccb59b2f-027d-489c-888d-7577dc95558f000,三级甲等,020-61643888
5,广东省广州市涌岸街36号,"
        广东省中医院芳村分院
      ",28.2万,https://www.guahao.com/hospital/f3869b07-efad-4620-aeed-25d64c752155000,三级甲等,020-81499399
6,广东省广州市麓景路上街13巷9号,"
        广东省中医院下塘门诊部
      ",1.4万,https://www.guahao.com/hospital/75eab779-3179-45af-a0c0-c69c9e04148b000,三级甲等,020-83599517
7,东城区光明新街路1号,"
        东莞市人民医院普济院区
      ",7557,https://www.guahao.com/hospital/06e0a487-3ded-424d-91f5-e64b65cb772c000,三级甲等,0769-28637333
8,莞城王屋街23号,"
        东莞市人民医院第一门诊部
      ",3552,https://www.guahao.com/hospital/367fd7d4-e91b-4602-913a-8b7439a6f28b000,三级甲等,0769-28637333
9,广东省广州市白云机场路16号大院,"
        广州中医药大学第一附属医院
      ",81.1万,https://www.guahao.com/hospital/382e8091-4d7a-4371-b1f8-3d51bb40f7a0000,三级甲等,020-36591912
0,广东省广州市荔湾区多宝路63号,"
        广州医科大学附属第三医院
      ",59.3万,https://www.guahao.com/hospital/1ee21b16-9630-4e97-b4d6-daa6218b4c98000,三级甲等,"020-83992008,020-81292949"
1,广东省广州市越秀区二沙岛大通路261号,"
        广东省中医院二沙岛分院
      ",49.4万,https://www.guahao.com/hospital/631cac0d-69ee-4d0c-857d-cb10512d4dec000,三级甲等,020-87351238
2,广东省广州市番禺区大学城内环西路55号,"
        广东省中医院大学城医院
      ",35.4万,https://www.guahao.com/hospital/d8f95511-b5df-480d-aaaf-a498c708620b000,三级甲等,020-39318100
3,广东省广州市萝岗区开创大道2693号,"
        中山大学附属第三医院岭南医院
      ",10.4万,https://www.guahao.com/hospital/ec56a4c2-9e39-46de-a370-ce9b4ef37bae000,三级甲等,020-82179000
4,广东省广州市天河东路60号,"
        广东省中医院天河门诊部
      ",5.6万,https://www.guahao.com/hospital/8c8a90ec-75de-40c2-9a25-11511ff9fc3e000,三级甲等,020-87504990
5,广东省广州市天河区黄埔大道西613号,"
        广州华侨医院
      ",3.9万,https://www.guahao.com/hospital/e75a2ad0-72c5-425b-9b36-34a8dc16a485000,三级甲等,020-38688888
6,流花路111号,"
        广州总医院
      ",2.9万,https://www.guahao.com/hospital/1b20c89d-2c00-40c4-babc-4d34adb80d45000,三级甲等,020-00000000
7,广东省广州市海珠区石榴岗路1号,"
        广东省第二人民医院
      ",1.2万,https://www.guahao.com/hospital/a867e11f-c720-11e1-913c-5cf9dd2e7135000,三级甲等,020-89168888
8,广东省广州越秀区东风东路801号,"
        中国人民解放军第458医院
      ",6283,https://www.guahao.com/hospital/9867cd41-c720-11e1-913c-5cf9dd2e7135000,三级甲等,4008300458
9,广东省广州市白云区沙太南路578号,"
        广东三九脑科医院
      ",5558,https://www.guahao.com/hospital/9a995811-c720-11e1-913c-5cf9dd2e7135000,三级甲等,020-62323939
0,广东省广州市白云区增槎路14号,"
        广东省中医院罗冲围门诊部
      ",4571,https://www.guahao.com/hospital/32c541aa-8292-4908-80e7-da74b28df678000,三级甲等,020-81758033
1,石榴岗路13号,"
        南方医科大学中西医结合医院（南医大肿瘤中心）
      ",2503,https://www.guahao.com/hospital/a71cc150-a679-4df8-893c-3a4baa7f2f3e000,三级甲等,"020-61650000,4006020120"
2,广东省广州市荔湾区黄沙大道31号,"
        广州医科大学附属口腔医院
      ",2055,https://www.guahao.com/hospital/986bd861-c720-11e1-913c-5cf9dd2e7135000,三级甲等,020-61359417
3,广东省东莞市万江区新谷涌万道路南3号,"
        东莞市人民医院万江院区
      ",3.7万,https://www.guahao.com/hospital/3a4d5f69-65ce-444e-b592-22956d5d8c9f000,三级甲等,0769-28637333
4,广州市番禺区市桥街桥东路65号,"
        广州市番禺区中医院
      ",572,https://www.guahao.com/hospital/ed308e56-821b-4ae5-80ac-53739fe77263000,三级甲等,无
5,石榴岗路13号,"
        南方医科大学肿瘤中心（中西医结合医院）
      ",211,https://www.guahao.com/hospital/4181c3ea-7a5d-4712-8a77-61e2ca4f53fa000,三级甲等,020-61650000
6,广东省东莞市东城东路1号,"
        东莞市东华医院
      ",3767,https://www.guahao.com/hospital/9867ea6c-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0769-22333333
7,广东省深圳市福田莲花路1120号,"
        北京大学深圳医院
      ",130,https://www.guahao.com/hospital/986c2002-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0755-83923333
8,广东省深圳市东门北路1017号,"
        深圳市人民医院
      ",105,https://www.guahao.com/hospital/986cbb90-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0755-25533018
9,总院-深圳笋岗西路3002号/中西医结合分院-深圳...,"
        深圳市第二人民医院
      ",84,https://www.guahao.com/hospital/986c329b-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0755-83366388
