,address,name,order,page_link,rank,tel
0,无锡市槐树巷48号,"
        无锡市妇幼保健院
      ",23.2万,https://www.guahao.com/hospital/139279686957002000,三级甲等,0510-82713324
1,"江苏南京广州路300号,江东北路368号","
        江苏省人民医院
      ",2.7万,https://www.guahao.com/hospital/138716556639136000,三级甲等,025-83714511
2,南京湖南路丁家桥87号,"
        东南大学附属中大医院
      ",1.1万,https://www.guahao.com/hospital/4c6ac257-20c5-4166-94eb-41ab1fb3edaa000,三级甲等,025-83272111
3,江苏省南京市百子亭42号,"
        江苏省肿瘤医院
      ",1.9万,https://www.guahao.com/hospital/9fad6711-dfc9-4d05-8968-2da2bd1cc170000,三级甲等,025-83283364
4,江苏省无锡市清扬路299号,"
        无锡市人民医院
      ",20.1万,https://www.guahao.com/hospital/f226027e-7533-4834-b790-40f205e42ad5000,三级甲等,0510-82700778
5,江苏省南京市莫愁路天妃巷123号,"
        南京市妇幼保健院
      ",4.3万,https://www.guahao.com/hospital/4c43f88b-425b-48fa-838a-ef8f54113146000,三级甲等,025-52226777
6,江苏省无锡市惠河路200号,"
        无锡市第四人民医院
      ",7.3万,https://www.guahao.com/hospital/253aa3fe-45ea-45e0-976b-c49ee58b92fb000,三级甲等,0510-88683100
7,江苏省南京市南湖路23号,"
        江苏省第二中医院
      ",953,https://www.guahao.com/hospital/24a00b5b-fc08-45ba-876a-1f714b5a34d5000,三级甲等,025-86427006
8,江苏省常州市和平北路25号,"
        常州市中医医院
      ",79.6万,https://www.guahao.com/hospital/138259912632407000,三级甲等,0519-88124955
9,南京市长乐路68号,"
        南京市第一医院
      ",1.2万,https://www.guahao.com/hospital/9b5f86a4-ca22-4c29-96eb-59dfb21c70ca000,三级甲等,025-52271000(总机)
0,江苏省无锡市北塘区兴源北路585号,"
        无锡第三人民医院
      ",2.2万,https://www.guahao.com/hospital/bda8c618-487e-4f9a-9b99-0ab29f88a407000,三级甲等,0510-82607391
1,江苏省南京市红山路十字街100号,"
        江苏省中西医结合医院
      ",7684,https://www.guahao.com/hospital/ebfe1148-07a6-4d00-a920-73bec2b4f4d1000,三级甲等,025-85638721
2,江苏省徐州市淮海西路99号,"
        徐州医学院附属医院
      ",45.2万,https://www.guahao.com/hospital/7FA058BACE594935A7A800E6F6002D0F000,三级甲等,0516-85609999
3,沧浪新城吴中西路889号,"
        苏州市中医医院
      ",1.8万,https://www.guahao.com/hospital/137228411108180000,三级甲等,0512-65222220
4,江苏省常州市局前街185号,"
        常州市第一人民医院
      ",32.9万,https://www.guahao.com/hospital/138872494057004000,三级甲等,0519-68870000
