,address,name,order,page_link,rank,tel
0,浙江省杭州市庆春路79号(310003),"
        浙江大学医学院附属第一医院
      ",815,https://www.guahao.com/hospital/ED25EA3F3F67A102E040A8C00F01221B000,三级甲等,0571-87236666
1,杭州市上城区解放路88号,"
        浙江大学医学院附属第二医院
      ",906,https://www.guahao.com/hospital/ED25EA3F3F68A102E040A8C00F01221B000,三级甲等,0571-87783777
2,浙江省杭州市庆春东路3号,"
        浙江大学医学院附属邵逸夫医院
      ",402,https://www.guahao.com/hospital/ED25EA3F3EE8A102E040A8C00F01221B000,三级甲等,0571-86006667
3,浙江省杭州市学士路1号,"
        浙江大学医学院附属妇产科医院
      ",3963,https://www.guahao.com/hospital/ED25EA3F3F65A102E040A8C00F01221B000,三级甲等,0571-87061501
4,浙江省杭州市下城区竹竿巷57号310003,"
        浙江大学医学院附属儿童医院
      ",179,https://www.guahao.com/hospital/ED25EA3F3F66A102E040A8C00F01221B000,三级甲等,0571-87061007
5,浙江省杭州滨江区滨盛路3333号,"
        浙江大学医学院附属儿童医院(滨江新院区)
      ",216,https://www.guahao.com/hospital/83f5eb9e-9f9c-4380-8de6-4826c4b2db39000,三级甲等,0571-87061007
6,浙江省杭州市拱墅区半山桥广济路38号,"
        浙江省肿瘤医院
      ",4198,https://www.guahao.com/hospital/580988fd-e0ec-4670-aa69-1cc3a35c4ca9000,三级甲等,0571-88122221
7,杭州市上塘路158号,"
        浙江省人民医院
      ",282,https://www.guahao.com/hospital/ED25EA3F3F60A102E040A8C00F01221B000,三级甲等,0571-87666666
8,杭州市灵隐路12号,"
        浙江省浙江医院
      ",891,https://www.guahao.com/hospital/ED25EA3F3EF4A102E040A8C00F01221B000,三级甲等,0571-87987373
9,杭州市古翠路,"
        浙江省立同德医院
      ",6311,https://www.guahao.com/hospital/a8b95220-4608-4282-944d-1bad9739073b000,三级甲等,0571-89972000
0,浙江省杭州市邮电路54号,"
        浙江省中医院
      ",2231,https://www.guahao.com/hospital/ED25EA3F3EF7A102E040A8C00F01221B000,三级甲等,0571-87068001
1,杭州市江干区经济技术开发区九号大街九号,"
        浙江省中医院下沙院区
      ",86,https://www.guahao.com/hospital/ED25EA3F3EF6A102E040A8C00F01221B000,三级甲等,0571-86911001
2,杭州市延安路395号;城西分院地址:萍水街333号...,"
        浙江省口腔医院
      ",70,https://www.guahao.com/hospital/ED25EA3F3F64A102E040A8C00F01221B000,三级甲等,0571-87217430
3,浙江省杭州市潮王路318号,"
        浙江省新华医院
      ",19,https://www.guahao.com/hospital/ED25EA3F3F5FA102E040A8C00F01221B000,三级甲等,0571-85267000
4,浙江省杭州市灵隐路14号,"
        中国人民解放军第117医院
      ",11,https://www.guahao.com/hospital/ED25EA3F3F62A102E040A8C00F01221B000,三级甲等,0571-87348500
5,杭州市龙井路5号/杨公堤27号,"
        中国人民解放军杭州128医院
      ",0,https://www.guahao.com/hospital/404ec2e8-4da1-4536-aa67-09fccb369837000,三级医院,0571-87341130
6,杭州市浣纱路261号,"
        杭州市第一人民医院
      ",363,https://www.guahao.com/hospital/ED25EA3F3EECA102E040A8C00F01221B000,三级甲等,0571-87065701
7,杭州市温州路126号,"
        杭州市第二人民医院
      ",61,https://www.guahao.com/hospital/ED25EA3F3EF2A102E040A8C00F01221B000,三级甲等,0571-88303553
8,杭州市上城区西湖大道38号.,"
        杭州市第三人民医院
      ",202,https://www.guahao.com/hospital/ED25EA3F3EF0A102E040A8C00F01221B000,三级乙等,"0571-87823104,0571-878231..."
9,杭州市西湖区留下镇横埠街2号（310023）,"
        杭州市第六人民医院
      ",29,https://www.guahao.com/hospital/ED25EA3F3EEAA102E040A8C00F01221B000,三级甲等,0571-86481561
0,杭州市天目山路305号,"
        杭州市第七人民医院
      ",30,https://www.guahao.com/hospital/ED25EA3F3EEDA102E040A8C00F01221B000,三级甲等,0571-85129501
1,杭州市体育场路453号,"
        杭州市中医院
      ",75,https://www.guahao.com/hospital/ED25EA3F3F58A102E040A8C00F01221B000,三级甲等,0571-85827888
2,浙江省杭州市萧山区育才北路728号,"
        浙江萧山医院
      ",1823,https://www.guahao.com/hospital/ED25EA3F3F52A102E040A8C00F01221B000,三级乙等,0571-83865757
3,萧山区市心南路199号,"
        杭州市萧山区第一人民医院
      ",938,https://www.guahao.com/hospital/ED25EA3F3EE9A102E040A8C00F01221B000,三级乙等,0571-83807999
4,宁波市江东区民安路855号,"
        宁波市眼科医院
      ",2660,https://www.guahao.com/hospital/986a373a-c720-11e1-913c-5cf9dd2e7135000,三级乙等,0574-87862222
5,杭州市江干区凤起东路618号,"
        浙江省眼科医院杭州院区
      ",738,https://www.guahao.com/hospital/ED25EA3F3F5EA102E040A8C00F01221B000,三级甲等,0571-88185666
6,浙江省温州市学院西路270号,"
        温州医学院附属眼视光医院
      ",38,https://www.guahao.com/hospital/986cfeb3-c720-11e1-913c-5cf9dd2e7135000,三级甲等,0577-88068888
7,温州市学院西路109号,"
        温州医学院附属第二医院
      ",163,https://www.guahao.com/hospital/986d61fc-c720-11e1-913c-5cf9dd2e7135000,三级甲等,"114,12580"
8,浙江省嘉兴市洪兴路333号,"
        上海岳阳医院嘉兴分部
      ",152,https://www.guahao.com/hospital/abcfc8c5-5cdd-4351-a84b-b40de1078aca000,三级甲等,0573-82765678
9,温州市锦绣路75号,"
        温州市中西医结合医院
      ",33,https://www.guahao.com/hospital/ED25EA3F3F36A102E040A8C00F01221B000,三级甲等,12580、114
0,温州市江滨西路康乐坊口,"
        温州市中心医院
      ",32,https://www.guahao.com/hospital/986a7cc1-c720-11e1-913c-5cf9dd2e7135000,三级甲等,057788070000
1,1.六虹桥：温州市六虹桥钢材市场西大门；2.大士门...,"
        浙江中医药大学附属温州中医院
      ",29,https://www.guahao.com/hospital/986a7a80-c720-11e1-913c-5cf9dd2e7135000,三级甲等,88209009 56671566
2,温州市仓后街57号,"
        温州市第三人民医院
      ",21,https://www.guahao.com/hospital/986a7de4-c720-11e1-913c-5cf9dd2e7135000,三级甲等,88059166、88883131
3,宁波江东区中山东路1059号,"
        宁波市第六医院
      ",4754,https://www.guahao.com/hospital/9867a7a9-c720-11e1-913c-5cf9dd2e7135000,三级乙等,0574-87801999
